1,10.3
2,10.32
3,10.34
4,10.36
5,10.38
6,10.4
7,10.42
8,10.44
9,10.46
10,10.48
11,10.901
12,10.902
13,10.903
14,10.904
15,10.905
16,10.906
17,10.907
18,10.908
19,10.909
20,10.91
21,10.911
22,10.912
23,10.913
24,10.914
25,10.915
26,10.916
27,10.917
28,10.918
29,10.919
30,10.92
31,10.921
32,10.922
33,10.923
34,10.924
35,10.925
36,10.926
37,10.927
38,10.928
39,10.929
40,10.93
41,10.931
42,10.932
43,10.933
44,10.934
45,10.935
46,10.936
47,10.937
48,10.938
49,10.939
50,10.94
51,10.941
52,7.5
53,7.51
54,7.52
55,7.53
56,7.54
57,7.55
58,7.56
59,7.57
60,7.58
61,7.59
62,7.6
63,7.61
64,7.62
65,7.63
66,7.64
67,7.65
68,7.66
69,7.67
70,7.68
71,7.69
72,7.7
73,7.71
74,7.72
75,7.73
76,7.74
77,7.75
78,7.76
79,7.77
80,7.78
81,7.79
82,7.8
83,7.81
84,7.82
85,7.83
86,7.84
87,7.85
88,7.86
89,7.87
90,7.88
91,7.89
92,7.9
93,7.91
94,7.92
95,7.93
96,7.94
97,7.95
98,7.96
99,7.97
100,10.942
101,10.943
102,10.944
103,10.945
104,10.946
105,10.947
106,10.948
107,10.949
108,10.95
109,10.951
110,10.952
111,10.953
112,10.954
113,10.955
114,10.956
115,10.957
116,10.958
117,10.959
118,10.96
119,10.961
120,10.962
121,10.963
122,10.964
123,10.965
124,10.966
125,10.967
126,10.968
127,10.969
128,10.97
129,10.971
130,10.972
131,10.973
132,10.974
133,10.975
134,10.976
135,10.977
136,10.978
137,10.41
138,10.42
139,10.43
140,10.44
141,10.45
142,10.979
143,10.98
144,10.981
145,10.982
146,10.983
147,10.984
148,10.985
149,10.986
150,10.987
151,10.988
152,10.989
153,10.99
154,10.991
155,10.992
156,10.993
157,10.994
158,10.995
159,10.996
160,10.997
161,10.998
162,10.999
163,11.0
164,11.001
165,11.002
166,11.003
167,11.004
168,11.005
169,11.006
170,11.007
171,11.008
172,11.009
173,11.01
174,11.011
175,11.012
176,11.013
177,11.014
178,11.015
179,11.016
180,11.017
181,11.018
182,11.019
183,11.02
184,11.021
185,11.022
186,11.023
187,11.024
188,11.025
189,11.026
190,11.027
191,11.028
192,11.029
193,11.03
194,11.031
195,11.032
196,11.033
197,11.034
198,11.035
199,11.036
200,11.037
201,11.038
202,11.039
203,11.04
204,1.0
